City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
450,El Dovio,CO,63.9,overcast clouds,4.5079,-76.2362,Julián
451,Pinawa,CA,73.02,scattered clouds,50.1489,-95.8811,Pinawa Motel
452,Sawtell,AU,60.82,clear sky,-30.3833,153.1,The Bungalow Sawtell
453,Kribi,CM,75.29,light rain,2.95,9.9167,Hotel Tara Plage
454,Bandarbeyla,SO,77.76,scattered clouds,9.4942,50.8122,JABIR HOTEL
457,Khandyga,RU,80.13,broken clouds,62.6667,135.6,Apel'sin
458,Abnub,EG,82.6,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
461,Nantucket,US,69.91,overcast clouds,41.2835,-70.0995,Jared Coffin House
463,Sabha,LY,83.97,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
464,Shenjiamen,CN,80.8,broken clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
467,Castro Daire,PT,70.72,clear sky,40.8984,-7.9338,Alvores do Tempo - Quinta de Turismo Rural
468,Turayf,SA,73.65,clear sky,31.6725,38.6637,Turaif
469,Caraballeda,VE,77.86,few clouds,10.6112,-66.8522,Hotel 15 Letras
471,Kavaratti,IN,81.09,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
472,Linxi,CN,68.41,overcast clouds,39.7,118.4333,Peace Hotel
474,Kiama,AU,61.0,light rain,-34.6833,150.8667,The Sebel Kiama Harbourside
478,Pacifica,US,78.71,broken clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
480,Barcelona,ES,78.87,clear sky,41.3888,2.159,Axel Hotel Barcelona
481,Nouadhibou,MR,67.98,broken clouds,20.931,-17.0347,El Medina
483,Iquitos,PE,75.24,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
485,Sibu,MY,75.51,few clouds,2.3,111.8167,RH HOTEL (4 Star)
488,Oriximina,BR,79.7,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
489,Youghal,IE,63.61,clear sky,51.95,-7.8506,Walter Raleigh Hotel
491,Chifeng,CN,81.3,broken clouds,42.2683,118.9636,Junyu Tiancheng Hotel
492,Chietla,MX,76.32,overcast clouds,18.5167,-98.5833,Hotel San Francisco
495,Turbat,PK,82.99,light rain,26.0023,63.044,Mubashar Quarters
496,Yabrud,SY,64.94,clear sky,33.9674,36.6574,صالة افراح الاندلس
